filename,mse,mae,ssim,contrast_structure,luminance,psnr,corr,iq_mse,iq_mae,iq_ssim,iq_contrast_structure,iq_luminance,iq_psnr,iq_corr,hm_mse,hm_mae,hm_ssim,hm_contrast_structure,hm_luminance,hm_psnr,hm_corr,hm_iq_mse,hm_iq_mae,hm_iq_ssim,hm_iq_contrast_structure,hm_iq_luminance,hm_iq_psnr,hm_iq_corr
patients.20190904112847_channelData_part13_0.mat,0.009671101,0.08449789,0.6853487,0.87164056,0.78427815,20.14524,0.9801590052924027,0.011112542,0.09516845,0.3990015,0.4669415,0.8329956,19.541866,0.9743567542013827,0.0031791083,0.03531246,0.6436338,0.6495123,0.9745805,24.976946,0.9747602650097272,0.0031791083,0.03531246,0.6436338,0.6495123,0.9745805,24.976946,0.9747602650097272
patients.20190909111633_channelData_part6_0.mat,0.005955303,0.06311401,0.69740355,0.8783472,0.7928633,22.25096,0.9465628821064749,0.021590963,0.1323041,0.4316227,0.5346066,0.77658516,16.65728,0.938611648563705,0.0046166917,0.047311828,0.68501526,0.71047103,0.92347914,23.356691,0.9392185292526553,0.0046166917,0.047311828,0.68501526,0.71047103,0.92347914,23.356691,0.9392185292526553
patients.20190909120205_channelData_part6_0.mat,0.01521434,0.11760019,0.713401,0.88067204,0.8017287,18.177467,0.983757710765792,0.010980133,0.0931611,0.5617318,0.59032625,0.9470407,19.593924,0.9568213169377693,0.0014700793,0.024765221,0.8623521,0.8636215,0.9981805,28.326591,0.9803299097917422,0.0014700793,0.024765221,0.8623521,0.8636215,0.9981805,28.326591,0.9803299097917422
mark.20190710152917_channelData_part24_0.mat,0.004923433,0.060945075,0.8266723,0.9125702,0.9044232,23.077318,0.9863896165305323,0.028276395,0.16155528,0.61475307,0.6764017,0.9068941,15.485759,0.9592196739238926,0.00079492107,0.019296832,0.92160714,0.92248213,0.99895376,30.996758,0.9864976061844103,0.00079492107,0.019296832,0.92160714,0.92248213,0.99895376,30.996758,0.9864976061844103
patients.20190904112847_channelData_part17_0.mat,0.003616859,0.046586756,0.77409077,0.8846857,0.87568307,24.416683,0.9785034579321986,0.02054153,0.1330293,0.32620776,0.44200468,0.6918777,16.87367,0.9751065794536942,0.0038087135,0.0400049,0.5878662,0.5944361,0.97006696,24.192215,0.9702641825635332,0.0038087135,0.0400049,0.5878662,0.5944361,0.97006696,24.192215,0.9702641825635332
patients.20190909114332_channelData_part13_1.mat,0.0073380563,0.079540834,0.75559515,0.8814433,0.8593657,21.344189,0.9840100126423408,0.032082204,0.16955373,0.45109642,0.5132353,0.8752032,14.937358,0.9485700585834537,0.0016404215,0.02575826,0.8525976,0.8546213,0.9966014,27.850445,0.9765772986458925,0.0016404215,0.02575826,0.8525976,0.8546213,0.9966014,27.850445,0.9765772986458925
patients.20190909101510_channelData_part15_0.mat,0.0034621907,0.04460818,0.73485994,0.85305697,0.8588378,24.606487,0.9686771107624252,0.026836427,0.15129317,0.39622808,0.5215491,0.71095574,15.712752,0.966632152278748,0.0034431124,0.040020384,0.6771897,0.6858183,0.97044235,24.630487,0.9682784202676497,0.0034431124,0.040020384,0.6771897,0.6858183,0.97044235,24.630487,0.9682784202676497
patients.20190909120226_channelData_part5_1.mat,0.00979335,0.086484134,0.68817663,0.8524382,0.8006489,20.090687,0.9746559965971355,0.01583074,0.11453933,0.5004289,0.56308585,0.872413,18.004986,0.9593310632468507,0.0024801146,0.033168945,0.7944369,0.79869896,0.9918127,26.055283,0.9731886060342273,0.0024801146,0.033168945,0.7944369,0.79869896,0.9918127,26.055283,0.9731886060342273
patients.20190904114834_channelData_part9_1.mat,0.00469805,0.05829243,0.7963236,0.8707862,0.9149972,23.280823,0.9789343822910578,0.028601615,0.16018857,0.527127,0.58005595,0.9053072,15.436094,0.9466243058941054,0.0016050707,0.026462832,0.8721903,0.87409806,0.9970289,27.945057,0.9762803555764769,0.0016050707,0.026462832,0.8721903,0.87409806,0.9970289,27.945057,0.9762803555764769
patients.20190909111633_channelData_part10_1.mat,0.0077393735,0.07100289,0.69431275,0.8452143,0.8188235,21.11294,0.9353642405805446,0.024203507,0.1417929,0.45544845,0.5476255,0.7997804,16.161217,0.9298421972983625,0.0046423064,0.048158687,0.72224474,0.73361707,0.9741864,23.33266,0.9409619541754427,0.0046423064,0.048158687,0.72224474,0.73361707,0.9741864,23.33266,0.9409619541754427
